
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                              Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

3807267238459242                    8.229      1.033    0.01022     0.1242   0.05997    0.7288
3807260938459244                    8.229      1.033    0.01022     0.1242   0.05997    0.7288
3807497938460402                    8.269      1.038   0.009272     0.1121    0.0599    0.7245
3791380538472620                    8.332      1.046   0.004916      0.059   0.03574     0.429
3791353238472714                    8.334      1.046   0.004666    0.05599   0.03571    0.4285
3791323838473578f                   8.349      1.048   0.002424    0.02903   0.03544    0.4244
3791341538473498                    8.348      1.048   0.002628    0.03148   0.03546    0.4248
3791383038473467                    8.347      1.048   0.002764    0.03311   0.03548     0.425
3811234138456911                    8.086      1.015    0.02349     0.2905   0.06023    0.7449
3810496238459106                    8.085      1.015    0.02354     0.2912   0.06023    0.7449
3814281538427811f                   7.898     0.9913    0.03605     0.4564   0.06101    0.7724
3814285038427721                    7.898     0.9913    0.03605     0.4564   0.06101    0.7725
3814297338428399                    7.899     0.9914    0.03605     0.4564   0.06101    0.7724
3814281538427811                    7.898     0.9913    0.03605     0.4564   0.06101    0.7724
3814333138428993                    7.899     0.9914    0.03605     0.4564   0.06101    0.7724
3813811638429754                    7.899     0.9914    0.03605     0.4564   0.06101    0.7724
3814368538429917                    7.899     0.9914    0.03605     0.4564   0.06101    0.7724
3813778538430014                    7.899     0.9914    0.03605     0.4564   0.06101    0.7724
3813769438429768                    7.899     0.9914    0.03605     0.4564   0.06101    0.7724
3813686638430573                    7.899     0.9914    0.03605     0.4564   0.06101    0.7724
3813806638430339                    7.899     0.9914    0.03605     0.4564   0.06101    0.7724
3813340338431233                    7.899     0.9914    0.03605     0.4564   0.06101    0.7724
3813523838430877                    7.899     0.9914    0.03605     0.4564   0.06101    0.7724
3813227338431471                    7.899     0.9914    0.03605     0.4564   0.06101    0.7724
3813227338431422                    7.899     0.9914    0.03605     0.4564   0.06101    0.7724
3812623438431398                    7.899     0.9915    0.03605     0.4564   0.06101    0.7724
3812895638431427                    7.899     0.9915    0.03605     0.4564   0.06101    0.7724
3814355238429571                    7.899     0.9914    0.03605     0.4564   0.06101    0.7724
3807523638471224                    7.939     0.9964    0.05958     0.7504   0.04539    0.5718
3807733738471216                    7.939     0.9964    0.05958     0.7504   0.04539    0.5718
3807733738471216f                   7.939     0.9964    0.05958     0.7504   0.04539    0.5718
3807793838467209                    7.946     0.9973    0.05929     0.7461   0.04539    0.5713
3807805038467209                    7.946     0.9973    0.05929     0.7461   0.04539    0.5713
3808251838452063                    8.049       1.01    0.02701     0.3355   0.06041    0.7506
3808555838452082                    8.049       1.01    0.02701     0.3356   0.06041    0.7506
3807586638452021                    8.049       1.01      0.027     0.3354   0.06041    0.7506
3807905138452042                    8.049       1.01      0.027     0.3355   0.06041    0.7506
3806991638451983                    8.049       1.01    0.02699     0.3353   0.06041    0.7506
3807226638452004                    8.049       1.01    0.02699     0.3353   0.06041    0.7506
3806497238451899                    8.049       1.01    0.02698     0.3352   0.06041    0.7505
3806687638451947                    8.049       1.01    0.02698     0.3352   0.06041    0.7505
